,property_type,district,land_m2,property_m2,year,unit_level,freehold,price_m2,mall_count,school_count,park_count,river_count,lake_count,rail_station_count,incoming_ridership_within_1km,outgoing_ridership_within_1km,total_ridership_within_1km,walk_dist_to_mall,walk_dist_to_school,walk_dist_to_park,walk_dist_to_river,walk_dist_to_lake,walk_dist_to_rail_station,dist_to_mall,dist_to_school,dist_to_park,dist_to_river,dist_to_lake,dist_to_rail_station,transit,market_cluster_id
36454,condominium/apartment,kuala lumpur,21.2,21.2,2023,3,1,75471.7,4,7,5,3,0,6,999981,1176563,2176544,0.451,0.807,0.557,1.299,2.14,0.412,0.609,1.228,0.982,0.975,2.469,0.859,1,KU_044
26664,condominium/apartment,petaling,126.0,126.0,2023,2,1,4087.3,4,5,11,0,1,2,75939,90960,166899,0.53,1.318,0.491,2.797,2.41,1.917,1.003,1.011,0.925,3.309,3.768,1.07,1,PE_066
62054,2 - 2 1/2 storey terraced,klang,125.0,103.0,2024,0,1,4368.93,0,3,0,1,0,0,0,0,0,1.592,0.465,6.982,3.778,13.535,15.753,1.618,0.543,7.132,3.768,13.914,15.073,0,KL_059
58750,1 - 1 1/2 storey terraced,kuala langat,130.0,72.0,2024,0,0,4583.33,0,0,0,1,0,0,0,0,0,5.807,4.949,14.369,1.003,12.021,13.465,8.178,8.249,18.261,0.423,11.858,24.44,0,KU_010
52813,condominium/apartment,hulu langat,70.0,70.0,2024,2,1,2857.14,0,1,2,1,0,0,0,0,0,1.973,1.584,1.331,3.785,7.472,14.689,2.537,1.954,1.983,2.281,5.452,15.36,0,HU_035
36107,condominium/apartment,petaling,78.97,78.97,2023,22,0,4811.95,2,1,2,3,0,0,0,0,0,0.233,2.894,3.072,1.03,3.933,3.177,7.322,7.903,16.23,11.976,12.97,18.926,1,PE_061
52394,condominium/apartment,petaling,76.0,76.0,2023,6,1,3315.79,3,2,5,0,0,0,0,0,0,0.814,0.863,0.718,9.11,6.172,9.501,1.443,0.805,0.962,10.357,5.845,10.95,0,PE_014
32802,condominium/apartment,hulu langat,116.0,116.0,2023,8,1,3663.79,6,5,3,1,1,0,0,0,0,1.036,0.482,2.343,2.971,2.32,3.501,0.751,0.838,1.101,5.005,3.604,4.733,1,HU_016
46587,2 - 2 1/2 storey terraced,kuala selangor,189.2,109.0,2023,0,0,4587.16,5,1,1,0,0,0,0,0,0,0.653,0.782,1.572,4.678,2.605,21.0,0.72,1.316,1.593,4.607,2.271,21.0,0,KU_075
40546,1 - 1 1/2 storey terraced,kuala langat,145.0,130.0,2023,0,0,3192.31,0,0,0,0,0,0,0,0,0,3.859,3.968,4.665,10.255,4.522,13.465,3.928,3.728,4.674,10.811,5.724,24.44,0,KU_006
